,rank_2020,City,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage,Rank,Total cost of living,Median contract rent,Food cost per person,Utility costs,Gas costs,Median individual income,Median household income
44,45,Oakland,California,440646,390724,55.9,7883,22.88,48.61,60.41,80.09,35.48,42.97,46.95,54.12,16.23,25.89,32.29,40.28,6,2416,1499,499,234,184,41956,82018
45,46,Minneapolis,Minnesota,429954,382578,54.0,7962,15.65,32.94,41.53,54.72,25.6,30.36,34.11,38.0,12.25,17.91,22.74,27.46,35,1658,981,407,152,118,36554,65889
46,47,Tulsa,Oklahoma,413066,391906,197.5,2091,13.52,28.8,35.57,45.59,22.78,27.44,31.06,33.35,11.05,15.79,19.67,22.88,72,1249,674,266,197,112,29429,49158
47,48,Bakersfield,California,403455,347483,149.8,2693,14.28,32.1,40.46,53.14,24.17,29.9,33.88,37.49,12.03,17.64,22.31,26.8,32,1722,935,388,222,177,30471,62402
48,49,Wichita,Kansas,397532,382368,162.0,2454,13.1,28.11,34.76,44.69,22.26,26.86,30.5,32.81,10.8,15.44,19.27,22.44,74,1219,650,259,201,108,30563,55056
49,50,Arlington,Texas,394266,365438,95.9,4111,15.0,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.5,16.56,20.44,24.1,36,1646,977,420,124,125,31761,61716
50,51,Aurora,Colorado,386261,325078,160.1,2413,17.4,35.9,44.96,59.34,27.03,32.66,36.41,41.07,13.52,19.45,24.44,29.89,22,1921,1311,326,157,128,36710,69235
51,52,Tampa,Florida,384959,335709,114.0,3377,15.08,30.93,38.34,49.28,23.79,28.6,31.99,34.63,11.74,16.77,20.94,24.72,30,1746,1039,415,160,132,31144,57709
52,53,New Orleans,Louisiana,383997,343829,169.5,2265,14.84,30.94,37.57,47.61,24.99,29.77,33.42,35.86,11.74,16.87,20.68,23.89,52,1480,851,323,198,108,27263,45615
53,54,Cleveland,Ohio,372624,396815,77.7,4796,13.3,29.35,37.93,50.27,22.17,26.13,29.73,31.8,10.72,16.05,20.97,25.23,64,1332,603,400,204,125,21186,32053
54,55,Honolulu,Hawaii,350964,337256,60.5,5801,20.25,39.98,48.33,64.93,30.96,37.69,41.62,49.16,14.86,21.55,26.22,32.69,4,2462,1412,591,275,184,36632,72943
55,56,Anaheim,California,346824,336265,50.3,6895,19.22,41.55,51.3,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01,9,2333,1602,412,147,172,31526,76075
56,57,Lexington,Kentucky,322570,295803,283.6,1137,13.88,29.36,36.99,48.06,22.65,27.28,30.92,33.47,11.03,16.08,20.39,24.12,61,1359,789,299,161,110,31405,58356
57,58,Stockton,California,320804,291707,62.2,5158,14.88,34.0,42.76,56.5,25.23,31.39,35.37,39.63,12.15,18.58,23.46,28.48,31,1736,996,367,201,172,27932,59504
58,59,Corpus Christi,Texas,317863,305215,162.2,1960,14.02,28.5,34.86,44.68,22.36,27.22,30.62,33.18,11.01,15.56,19.2,22.42,56,1403,868,286,142,107,27882,55564
59,60,Henderson,Nevada,317610,257729,106.2,2991,13.77,29.19,36.89,48.83,23.12,26.98,30.53,34.14,11.06,16.01,20.3,24.62,24,1832,1241,291,156,144,39588,81505
60,61,Riverside,California,314998,303871,81.2,3879,15.82,34.89,43.46,56.96,26.86,32.48,36.46,40.68,12.63,19.03,23.81,28.71,17,2020,1316,341,192,170,29778,71967
61,62,Newark,New Jersey,311549,277140,24.1,12927,20.0,38.99,49.18,64.3,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.4,26,1802,1008,346,326,121,22654,40235
